user,date,text,favorite_count
PSuiteNetwork,Fri Feb 22 13:26:20 +0000 2019,Trump Trade War Triggering $1.9 Billion Plunge in Farm Exports #Trump #Farmers #Farming #Congress #Jobs #Economy… https://t.co/lTyRZCRYkZ,0
rk4urz,Fri Feb 22 13:11:17 +0000 2019,RT @rk4urz: Speculation grows on Robert Lighthizer could resign if pushed by #Trump administration or forced to agree a bad deal amid China…,0
JKim_Tran,Fri Feb 22 13:00:18 +0000 2019,The uncertainty of #tariffs can increase shipping costs in areas where manufacturing production has stifled such as… https://t.co/tOsLl65eVk,0
vanguard_nzsm,Fri Feb 22 12:59:45 +0000 2019,#TrumpFakeImage #TrumpLies #TrumpSwamp #Trumpism #Corruption #Nepotism #TrumpTrain #MAGA #Republicans Complicit… https://t.co/nb1XaHLBdP,1
zulueta23,Fri Feb 22 12:51:10 +0000 2019,"Our latest ""Economy at a glance"" has been released!

Topics covered:
-Debt of Public Administrations
-#Inflation (I… https://t.co/6HEDcCmy46",0
LadyLisaDCantu1,Fri Feb 22 12:48:47 +0000 2019,"RT @PalisadeRadio: China, #gold, trade tensions, and the US dollar are all analysed in our interview with @LukeGromen - https://t.co/Ta6avw…",0
casdaqtrading,Fri Feb 22 12:47:17 +0000 2019,"Markets are set to end the week near their highest level since October, supported by hopes for a truce in the U.S.-… https://t.co/KFSVhycdEs",0
rk4urz,Fri Feb 22 12:38:04 +0000 2019,"RT @rk4urz: Dow and Nasdaq plunge on faltering China trade talks, weak US data , US and Germany slowdown, #brexit , Trump TradeWar,Debt bub…",0
PandaWearGems,Fri Feb 22 12:26:31 +0000 2019,"#farmers
#soybeans
#tradewar

25 million tonnes of US soybeans will go unsold this year as a direct consequence of… https://t.co/6o7BwsN3W2",1
ecclesias,Fri Feb 22 12:20:48 +0000 2019,"RT @1marcolopez: Myth: According to Trump, #tariffs are going to make the United States ""richer"" 
Fact: per @USTreasury increase of $6.7 bi…",0
BTBB937,Fri Feb 22 12:20:19 +0000 2019,"Trump #TradeWar Triggering $1.9 Billion Plunge In Farm Exports: USDA | https://t.co/Wam8FppP5R

#EconomicCollapse",0
